CMDLINE /usr/local/bin/python3 app.py
MEM 71.281250 1737756045.0732
MEM 71.281250 1737756045.1785
MEM 71.281250 1737756045.2799
MEM 71.281250 1737756045.3852
MEM 71.281250 1737756045.4907
MEM 71.281250 1737756045.5944
MEM 71.281250 1737756045.6989
MEM 71.281250 1737756045.8026
MEM 71.281250 1737756045.9049
MEM 71.281250 1737756046.0103
MEM 71.281250 1737756046.1159
MEM 71.281250 1737756046.2208
MEM 71.281250 1737756046.3252
MEM 71.281250 1737756046.4310
MEM 71.281250 1737756046.5364
MEM 71.281250 1737756046.6403
MEM 71.281250 1737756046.7452
MEM 71.281250 1737756046.8517
MEM 71.281250 1737756046.9551
MEM 71.281250 1737756047.0614
MEM 71.281250 1737756047.1669
MEM 71.281250 1737756047.2719
MEM 71.281250 1737756047.3773
MEM 71.281250 1737756047.4816
MEM 71.281250 1737756047.5872
MEM 71.281250 1737756047.6923
MEM 71.281250 1737756047.7966
MEM 71.281250 1737756047.9017
MEM 71.281250 1737756048.0069
MEM 71.281250 1737756048.1122
MEM 71.281250 1737756048.2132
MEM 71.281250 1737756048.3145
MEM 71.281250 1737756048.4200
MEM 71.281250 1737756048.5212
MEM 71.281250 1737756048.6251
MEM 71.281250 1737756048.7267
MEM 71.281250 1737756048.8291
MEM 71.281250 1737756048.9323
MEM 71.281250 1737756049.0377
MEM 71.281250 1737756049.1431
MEM 71.281250 1737756049.2444
MEM 71.281250 1737756049.3493
MEM 71.281250 1737756049.4544
MEM 71.281250 1737756049.5598
MEM 71.281250 1737756049.6643
MEM 71.281250 1737756049.7694
MEM 71.281250 1737756049.8748
MEM 71.281250 1737756049.9802
MEM 71.281250 1737756050.0827
MEM 71.281250 1737756050.1880
MEM 71.281250 1737756050.2896
MEM 71.281250 1737756050.3948
MEM 71.281250 1737756050.5001
MEM 71.281250 1737756050.6005
MEM 71.312500 1737756050.7052
MEM 71.312500 1737756050.8095
MEM 70.562500 1737756050.9144
MEM 70.562500 1737756051.0198
MEM 64.359375 1737756051.1245
MEM 64.484375 1737756051.2298
MEM 64.484375 1737756051.3339
MEM 64.484375 1737756051.4392
MEM 64.484375 1737756051.5445
MEM 64.484375 1737756051.6490
MEM 64.484375 1737756051.7544
MEM 64.484375 1737756051.8547
MEM 64.468750 1737756051.9600
MEM 64.468750 1737756052.0652
MEM 64.468750 1737756052.1682
MEM 64.468750 1737756052.2737
MEM 64.468750 1737756052.3777
MEM 64.468750 1737756052.4819
MEM 64.468750 1737756052.5873
MEM 64.468750 1737756052.6926
MEM 64.468750 1737756052.7981
MEM 64.468750 1737756052.8989
MEM 64.468750 1737756053.0022
MEM 64.468750 1737756053.1075
MEM 64.468750 1737756053.2124
MEM 64.468750 1737756053.3145
MEM 64.421875 1737756053.4193
MEM 64.421875 1737756053.5247
MEM 64.421875 1737756053.6300
MEM 64.421875 1737756053.7316
MEM 64.421875 1737756053.8369
MEM 64.421875 1737756053.9422
MEM 64.421875 1737756054.0476
MEM 64.421875 1737756054.1497
MEM 64.421875 1737756054.2508
MEM 64.421875 1737756054.3546
MEM 64.421875 1737756054.4601
MEM 64.421875 1737756054.5656
MEM 64.421875 1737756054.6710
MEM 64.421875 1737756054.7767
MEM 64.421875 1737756054.8820
MEM 64.421875 1737756054.9873
MEM 64.421875 1737756055.0926
MEM 64.421875 1737756055.1978
MEM 64.421875 1737756055.2995
MEM 64.421875 1737756055.4048
MEM 64.421875 1737756055.5102
MEM 64.421875 1737756055.6119
MEM 64.421875 1737756055.7172
